ID,TimeStamp,Temperature,RelativeHumidity,Light,OxygenLevels,HumidityRatio,GTOccupancy
4699,08-02-15 0:08,19.6,29.6,0,439.5,0.004173154,0
3246,06-02-15 23:55,20,18.745,0,435,0.002702804,0
5199,08-02-15 8:29,19.2225,31.15,10,435.5,0.004290524,0
2566,06-02-15 12:36,21.7,20.495,521.5,813,0.003284097,1
2469,06-02-15 10:59,21.79,20.945,464,844.5,0.003375208,1
1763,05-02-15 23:12,20.5,21.29,0,452,0.003168499,0
2963,06-02-15 19:13,20.79,19.5,0,533,0.002953425,0
7892,10-02-15 5:22,20.2,33,0,449,0.004833908,0
1237,05-02-15 14:26,22.245,27.125,438,847.75,0.004502188,1
730,05-02-15 6:00,20.865,23.2925,0,450,0.00354752,0
1138,05-02-15 12:48,22.625,26.525,584.5,1043,0.004505516,1
5530,08-02-15 13:59,20.7,26.65,128.75,412.75,0.004020892,0
4963,08-02-15 4:33,19.32333333,31.29,0,436.3333333,0.004337287,0
7142,09-02-15 16:52,22.1,38.82666667,433,2001,0.006407172,1
5392,08-02-15 11:42,19.05,31.05,26.5,431,0.004230586,0
5904,08-02-15 20:13,19.39,27.6,0,444,0.003838647,0
4174,07-02-15 15:23,21.745,18.315,62,438.5,0.002941247,0
5284,08-02-15 9:53,19.39,30.55,24,430,0.004251742,0
6581,09-02-15 7:31,19.5,26.1,0,467,0.003653872,0
6295,09-02-15 2:44,19.39,26.65,0,470.5,0.003705733,0
7844,10-02-15 4:34,20.15,33,0,448,0.004818864,0
3518,07-02-15 4:27,19.79,19.29,0,443,0.002745599,0
2495,06-02-15 11:25,21.7,20.6,469,824,0.003301012,1
3277,07-02-15 0:27,20,18.79,0,444,0.002709321,0
84,04-02-15 19:14,22.15,27.245,0,586.5,0.004495971,0
1471,05-02-15 18:21,21.7,23.55,0,755,0.003776599,0
6741,09-02-15 10:11,20.7,31.7925,441.75,1111,0.004802772,1
1849,06-02-15 0:39,20.2,21,0,441,0.003067455,0
1913,06-02-15 1:43,20.39,19.945,0,436.5,0.002947197,0
614,05-02-15 4:04,20.945,24.39,0,440,0.003734112,0
8063,10-02-15 8:12,20.29,33.09,0,452.3333333,0.004874453,0
5853,08-02-15 19:23,19.29,27.6,0,438,0.003814675,0
6774,09-02-15 10:44,20.92666667,32.52666667,469,1276.666667,0.004984162,1
3977,07-02-15 12:07,22.9175,17.625,342.75,453,0.003040214,0
3100,06-02-15 21:29,20.2,19,0,446,0.002774013,0
1970,06-02-15 2:39,20.5,19.29,0,431.5,0.002869474,0
888,05-02-15 8:38,21.34,24.29,433,721.5,0.003810563,1
3116,06-02-15 21:46,20.2,19,0,445,0.002774013,0
4569,07-02-15 21:59,19.79,27.5,0,443.6666667,0.003921519,0
1733,05-02-15 22:43,20.55,21.1,0,453,0.00314983,0
8120,10-02-15 9:10,20.79,35.09,426,623,0.005334902,1
1741,05-02-15 22:51,20.53333333,21.2,0,455.6666667,0.003161565,0
4010,07-02-15 12:40,23.075,17.2675,310.5,455,0.00300692,0
2825,06-02-15 16:54,21.7,21.82333333,444,948.6666667,0.003498145,1
5188,08-02-15 8:18,19.245,31.15,14,436.75,0.004296585,0
2991,06-02-15 19:40,20.5,19.29,0,492.5,0.002869474,0
2837,06-02-15 17:06,21.79,21.79,447.4,942,0.003512146,1
4258,07-02-15 16:47,20.7225,20.245,14,436.75,0.003054033,0
5906,08-02-15 20:16,19.39,27.5,0,443,0.003824654,0
1764,05-02-15 23:13,20.39,21.29,0,450,0.003146948,0
3292,07-02-15 0:42,20,18.7,0,439,0.002696288,0
2119,06-02-15 5:09,20.39,18.7,0,425.5,0.002762411,0
5023,08-02-15 5:32,19.29,31.6,0,436.5,0.004371412,0
1466,05-02-15 18:16,21.745,23.55,0,776.5,0.003787066,0
6885,09-02-15 12:35,21.5,34.245,454,1390.75,0.005439327,1
5951,08-02-15 21:01,19.39,27.39,0,446,0.003809261,0
5326,08-02-15 10:36,19.29,30.575,6,435.75,0.004228654,0
4925,08-02-15 3:55,19.39,31.2,0,434,0.004342836,0
2966,06-02-15 19:15,20.7,19.4725,0,531.4,0.002932861,0
4221,07-02-15 16:11,21.1,19.39,19.75,433.5,0.002993478,0
6967,09-02-15 13:57,21.29,32.95,474.5,1131.5,0.00516445,1
4634,07-02-15 23:04,19.65,28.745,0,441,0.004064514,0
6688,09-02-15 9:17,20.1,29.856,408.5,719.25,0.004342989,1
2488,06-02-15 11:18,21.79,20.678,485,821.25,0.003331952,1
5639,08-02-15 15:49,19.89,26.4725,28,421.5,0.003797731,0
2110,06-02-15 4:59,20.39,18.7,0,432,0.002762411,0
4731,08-02-15 0:40,19.6,29.89,0,439,0.004214317,0
3831,07-02-15 9:40,20.7,18.89,611.5,452.25,0.002844726,0
2109,06-02-15 4:59,20.39,18.66666667,0,428.6666667,0.002757465,0
4492,07-02-15 20:42,19.89,25.89,0,441,0.003713667,0
7265,09-02-15 18:55,21.2,36.2,0,1341,0.00564694,0
7174,09-02-15 17:23,22.1,39.0675,433,2028.25,0.006447327,1
2181,06-02-15 6:10,20.29,18.79,0,433,0.002758593,0
2557,06-02-15 12:27,21.73,20.35666667,474,812.6666667,0.003267833,1
7837,10-02-15 4:27,20.16666667,33,0,448,0.004823874,0
4929,08-02-15 3:59,19.39,31.2,0,432,0.004342836,0
7451,09-02-15 22:01,20.5,33.4,0,629,0.004985223,0
3709,07-02-15 7:38,19.7,19.39,0,448.5,0.002744454,0
3234,06-02-15 23:44,20,18.7675,0,435,0.002706063,0
5239,08-02-15 9:08,19.29,31.1,19.5,435,0.004301766,0
1211,05-02-15 14:00,22.2675,25.89,451,795,0.004301716,0
4551,07-02-15 21:40,19.89,27.2,0,444,0.003902753,0
1897,06-02-15 1:27,20.29,20.5,0,441.75,0.003010856,0
7644,10-02-15 1:14,20.29,32.9,0,469,0.004846247,0
4776,08-02-15 1:25,19.5,30.1,0,437.3333333,0.00421765,0
4090,07-02-15 13:59,22.6,17.1,167.6666667,444,0.002892722,0
3197,06-02-15 23:06,20,18.89,0,440.3333333,0.002723803,0
6988,09-02-15 14:18,21.5,34.09,489,1242,0.005414493,1
2890,06-02-15 18:00,21.7,20.96333333,433,780.3333333,0.003359548,1
2288,06-02-15 7:58,20.39,19.22,412.2,496.25,0.002839577,1
1355,05-02-15 16:25,22.42666667,26.73,441,1087.666667,0.004485817,1
1367,05-02-15 16:37,22.39,26.045,429,1046,0.004360252,1
3825,07-02-15 9:35,20.525,19,181.5,455,0.002830522,0
2007,06-02-15 3:16,20.55,19,0,434,0.002834911,0
1716,05-02-15 22:25,20.6,20.89,0,458.5,0.003128002,0
5348,08-02-15 10:58,19.23,30.53333333,31,433.6666667,0.00420699,0
378,05-02-15 0:08,21.29,25.2,0,451,0.003942048,0
5557,08-02-15 14:26,20.6,26.125,115.25,426,0.00391681,0
2790,06-02-15 16:20,21.89,21.34,469,877,0.003460399,1
3242,06-02-15 23:51,19.89,18.745,0,438,0.002684364,0
6507,09-02-15 6:16,19.39,26.46333333,0,460.3333333,0.003679623,0
7282,09-02-15 19:12,20.945,36.09,0,1249.5,0.005541341,0
2239,06-02-15 7:08,20.2,18.6,0,436,0.002715358,0
7614,10-02-15 0:43,20.39,32.9,0,479,0.004876516,0
5770,08-02-15 18:00,19.39,27.2,0,429,0.003782676,0
5437,08-02-15 12:27,19.65,30.15,68,424,0.004264542,0
419,05-02-15 0:49,21.1,25.5,0,449,0.003942734,0
3130,06-02-15 22:00,20.1,18.89,0,444,0.002740796,0
3784,07-02-15 8:54,19.63333333,19.5,38.33333333,451.3333333,0.002748638,0
4435,07-02-15 19:45,20,24.5,0,444,0.003537326,0
5527,08-02-15 13:57,20.7,26.675,136,423,0.004024688,0
7247,09-02-15 18:36,21.5,36.7,0,1461.5,0.005832925,0
4894,08-02-15 3:23,19.39,31,0,438,0.004314804,0
3390,07-02-15 2:19,19.89,18.89,0,433,0.002705218,0
4289,07-02-15 17:19,20.5,21,0,440,0.003125123,0
463,05-02-15 1:33,21.2,25.1,0,439.5,0.00390455,0
2064,06-02-15 4:14,20.39,18.7225,0,434.5,0.002765749,0
3141,06-02-15 22:11,20.1,18.89,0,439,0.002740796,0
1564,05-02-15 19:53,21.2,19.6,0,496,0.003044783,0
6578,09-02-15 7:27,19.445,26.1,0,467,0.003641321,0
1209,05-02-15 13:59,22.29,25.945,484,809.5,0.004316867,1
6351,09-02-15 3:40,19.39,26.65,0,466.5,0.003705733,0
4322,07-02-15 17:51,20.39,21.76,0,436.6666667,0.003216779,0
5234,08-02-15 9:04,19.26,31.16666667,46,438,0.004302947,0
1357,05-02-15 16:27,22.39,26.4175,438,1067.75,0.004423057,1
5002,08-02-15 5:12,19.245,31.6,0,429,0.004359089,0
2464,06-02-15 10:53,21.73,20.89,477.3333333,861,0.003353911,1
5723,08-02-15 17:12,19.39,27.15,17,423.5,0.003775681,0
3151,06-02-15 22:21,20.1,18.89,0,446,0.002740796,0
8139,10-02-15 9:29,21.05,36.0975,433,787.25,0.005578714,1
7638,10-02-15 1:08,20.29,33,0,472,0.004861092,0
5737,08-02-15 17:26,19.39,27.2,14,422.6666667,0.003782676,0
2031,06-02-15 3:40,20.5,19,0,434.5,0.00282614,0
1751,05-02-15 23:00,20.5,21.29,0,449,0.003168499,0
4680,07-02-15 23:50,19.6,29.29,0,437,0.004129159,0
2111,06-02-15 5:00,20.39,18.7,0,430,0.002762411,0
4190,07-02-15 15:40,21.5,18.6,37,442,0.002942587,0
6195,09-02-15 1:05,19.39,27,0,463,0.003754695,0
1326,05-02-15 15:55,22.5,27.025,470.25,1079.25,0.004556095,1
3190,06-02-15 22:59,20.03333333,18.79,0,434,0.002714945,0
3719,07-02-15 7:49,19.7,19.5,0,452,0.002760093,0
6845,09-02-15 11:55,21.4175,33.5425,469.25,1465.5,0.00529971,1
7298,09-02-15 19:27,20.79,35.73,0,1145.666667,0.005433055,0
6952,09-02-15 13:41,21.2,32.9,454,1113,0.00512792,1
5314,08-02-15 10:24,19.29,30.6,24,425,0.004232135,0
7488,09-02-15 22:38,20.5,33.145,0,577.5,0.004946859,0
4070,07-02-15 13:40,22.89,16.9175,187.5,447.25,0.002912723,0
4542,07-02-15 21:32,19.89,26.89,0,443,0.003857997,0
2650,06-02-15 13:59,21.79,18.99333333,571,631,0.003059158,1
2736,06-02-15 15:26,22.1,21.575,500.25,884.25,0.003544083,1
158,04-02-15 20:28,21.7,26.79,0,515.5,0.004299774,0
3960,07-02-15 11:50,22.79,17.6,343,453.5,0.003012401,0
6858,09-02-15 12:08,21.525,33.52,464,1445,0.005331409,1
50,04-02-15 18:40,22.39,27.34,0,630.5,0.004578647,0
568,05-02-15 3:17,20.89,24.89,0,447,0.003798181,0
1293,05-02-15 15:23,22.575,28,465.25,1108.25,0.004743442,1
6062,08-02-15 22:52,19.5,27.79,0,454,0.003891944,0
5785,08-02-15 18:15,19.29,27.445,0,425,0.003793122,0
7646,10-02-15 1:15,20.29,32.9,0,474,0.004846247,0
3670,07-02-15 7:00,19.745,19.29,0,449,0.002737909,0
586,05-02-15 3:36,21,24.6,0,444,0.003779293,0
5103,08-02-15 6:53,19.26,31.46333333,0,428.3333333,0.004344191,0
5965,08-02-15 21:15,19.42666667,27.46,0,449.6666667,0.003827834,0
1078,05-02-15 11:48,22.2,27.1,444,1137,0.004485611,1
3118,06-02-15 21:48,20.2,18.89,0,445,0.002757882,0
1769,05-02-15 23:19,20.39,21.29,0,443.6666667,0.003146948,0
456,05-02-15 1:25,21.2,25.2,0,444,0.003920204,0
3111,06-02-15 21:40,20.2,18.89,0,446,0.002757882,0
511,05-02-15 2:21,21,25,0,444,0.003841124,0
1775,05-02-15 23:25,20.39,21.29,0,446.5,0.003146948,0
430,05-02-15 1:00,21.1,25.39,0,452,0.003925619,0
5265,08-02-15 9:35,19.34,30.79,149,433.5,0.004271965,0
2339,06-02-15 8:49,20.89,19.79,433,635.5,0.003016154,1
791,05-02-15 7:01,20.7,22.79,0,459,0.003435287,0
565,05-02-15 3:15,20.89,24.89,0,431,0.003798181,0
6912,09-02-15 13:01,21.5,33.425,464,1279.25,0.00530797,1
5921,08-02-15 20:31,19.39,27.5,0,442,0.003824654,0
6409,09-02-15 4:38,19.29,26.89,0,469,0.003715958,0
7707,10-02-15 2:17,20.29,32.9,0,460,0.004846247,0
813,05-02-15 7:23,20.7,22.5,0,451.6666667,0.003391335,0
777,05-02-15 6:47,20.79,22.89,0,452,0.003469731,0
6267,09-02-15 2:17,19.39,26.89,0,469,0.003739306,0
6154,09-02-15 0:23,19.5,26.89,0,452,0.003765138,0
74,04-02-15 19:04,22.2,27.29,0,608.5,0.004517288,0
6109,08-02-15 23:38,19.5,27.2,0,455.5,0.00380881,0
5719,08-02-15 17:09,19.42666667,27.16666667,20.66666667,427,0.003786695,0
4940,08-02-15 4:09,19.29,31.29,0,436,0.00432823,0
3770,07-02-15 8:39,19.7,19.5,26.5,458,0.002760093,0
1228,05-02-15 14:18,22.2,26.6,442.5,818.5,0.004402265,1
65,04-02-15 18:55,22.29,27.35666667,0,616.3333333,0.004553467,0
3546,07-02-15 4:56,19.79,19.39,0,443,0.002759896,0
3857,07-02-15 10:07,21.2,18.6,271,463.3333333,0.002888716,0
3052,06-02-15 20:42,20.29,19.2,0,459.5,0.002819058,0
3640,07-02-15 6:29,19.7,19.39,0,444,0.002744454,0
5586,08-02-15 14:55,20.315,26.2,59.25,422.5,0.003859202,0
434,05-02-15 1:04,21.1,25.39,0,448,0.003925619,0
2778,06-02-15 16:08,22,21.3925,469,880.75,0.003492454,1
6285,09-02-15 2:35,19.39,26.7,0,469,0.003712727,0
6542,09-02-15 6:52,19.29,26.2,0,466,0.003620051,0
1861,06-02-15 0:51,20.29,20.79,0,443,0.003053658,0
2770,06-02-15 16:00,22.00833333,21.08416667,478.3,861.6333333,0.003443598,1
6705,09-02-15 9:35,20.39,30.84,433,886,0.004568935,1
6679,09-02-15 9:08,19.96333333,28.96,399.6666667,622,0.004176036,1
2315,06-02-15 8:25,20.89,19.65,422.5,591.5,0.002994714,1
1151,05-02-15 13:01,22.89,26.175,579.25,997.5,0.004518185,0
5506,08-02-15 13:36,20.7,27.6,209,425,0.004165186,0
812,05-02-15 7:21,20.7,22.5,0,454.5,0.003391335,0
264,04-02-15 22:14,21.39,25.7,0,483,0.004045656,0
7813,10-02-15 4:02,20.2,32.9,0,448,0.004819147,0
273,04-02-15 22:23,21.34,25.7,0,480,0.004033195,0
2645,06-02-15 13:54,21.7,19.075,545.5,634.25,0.00305544,1
7151,09-02-15 17:00,22.1,39,433,2007.666667,0.006436072,1
8116,10-02-15 9:06,20.7,34.29666667,419,548,0.00518422,1
2237,06-02-15 7:07,20.2,18.6,0,429,0.002715358,0
5763,08-02-15 17:53,19.39,27.2,0,425,0.003782676,0
6514,09-02-15 6:23,19.39,26.39,0,456.3333333,0.003669366,0
2455,06-02-15 10:45,21.65,20.9175,497.75,850,0.003341874,1
3846,07-02-15 9:55,20.96333333,18.79,229,459,0.002876047,0
5445,08-02-15 12:35,19.63333333,30.13333333,84.66666667,428.6666667,0.004257728,0
5008,08-02-15 5:18,19.29,31.7,0,435,0.004385344,0
5026,08-02-15 5:36,19.29,31.5,0,434.5,0.004357482,0
7632,10-02-15 1:01,20.29,32.96666667,0,482,0.004856144,0
3237,06-02-15 23:47,20.06666667,18.79,0,438,0.002720579,0
932,05-02-15 9:22,22,25.519,505.75,939.375,0.004170647,1
4104,07-02-15 14:13,22.55,17.245,139,444,0.002908479,0
1756,05-02-15 23:06,20.5,21.29,0,446.25,0.003168499,0
3794,07-02-15 9:04,19.63333333,19.6,82.66666667,457,0.002762796,0
2887,06-02-15 17:57,21.65,20.9175,433,790.5,0.003341874,1
7668,10-02-15 1:38,20.29,33,0,465,0.004861092,0
8084,10-02-15 8:34,20.29,33.2,0,451,0.004890785,0
1787,05-02-15 23:37,20.34,21.29,0,439.5,0.003137194,0
4858,08-02-15 2:48,19.34,31.05,0,434.5,0.004308289,0
1065,05-02-15 11:35,22.2,27,454,1116.25,0.00446894,1
7539,09-02-15 23:29,20.39,33,0,530,0.004891455,0
4013,07-02-15 12:42,23.075,17.2675,291,450.5,0.00300692,0
1271,05-02-15 15:01,22.55,28.3175,530,1082.5,0.004790309,1
4844,08-02-15 2:34,19.39,30.82333333,0,441.3333333,0.004290045,0
7679,10-02-15 1:49,20.29,32.93333333,0,460,0.004851195,0
5208,08-02-15 8:38,19.2,31.1,6,431.8,0.004277545,0
3262,07-02-15 0:11,20,18.79,0,438,0.002709321,0
2518,06-02-15 11:48,21.7,20.39,469,781,0.003267184,1
6502,09-02-15 6:11,19.5,26.5,0,467,0.003710204,0
1120,05-02-15 12:29,22.7,26.89,534,1106,0.004588962,1
1501,05-02-15 18:51,21.29,22.1,0,640,0.00345442,0
6978,09-02-15 14:08,21.39,33.66333333,484,1184.666667,0.005309933,1
2398,06-02-15 9:48,21.32333333,21.03333333,460,810,0.003293571,1
2827,06-02-15 16:57,21.7225,21.97,444,951.25,0.003526663,1
6098,08-02-15 23:28,19.5,27.42666667,0,451.3333333,0.003840746,0
1504,05-02-15 18:53,21.29,21.34,0,617,0.003334989,0
139,04-02-15 20:09,21.745,27.05,0,529.5,0.004353839,0
3162,06-02-15 22:32,20,18.89,0,444,0.002723803,0
3757,07-02-15 8:26,19.675,19.5,6,456.25,0.002755792,0
3280,07-02-15 0:29,20,18.6,0,438,0.002681807,0
8125,10-02-15 9:15,20.85666667,35.09666667,433,665.3333333,0.005358055,1
6734,09-02-15 10:04,20.7,31.6,438,1071.75,0.004773468,1
3537,07-02-15 4:46,19.79,19.34,0,442.5,0.002752747,0
4147,07-02-15 14:57,22.1,17.865,91.75,438,0.002931776,0
7880,10-02-15 5:10,20.2,33,0,446,0.004833908,0
6017,08-02-15 22:07,19.5,27.7,0,446.6666667,0.003879261,0
1623,05-02-15 20:53,21,19.7,0,476,0.003022848,0
7780,10-02-15 3:29,20.2225,32.8725,0,449,0.004821844,0
7542,09-02-15 23:31,20.39,32.9,0,524,0.004876516,0
4541,07-02-15 21:30,19.89,26.84,0,445,0.003850779,0
7977,10-02-15 6:47,20.2,33.09,0,454,0.004847194,0
2893,06-02-15 18:03,21.7,20.945,433,780.75,0.003356594,1
5969,08-02-15 21:19,19.39,27.5,0,455,0.003824654,0
4172,07-02-15 15:22,21.79,18.29,52,442,0.002945339,0
7091,09-02-15 16:01,22,38.2725,432.75,1895,0.006276022,1
1438,05-02-15 17:48,22.1,24.245,433,887,0.003985489,1
2189,06-02-15 6:19,20.23,18.73,0,427.5,0.00273952,0
737,05-02-15 6:07,20.84,23.245,0,448.5,0.003534771,0
1633,05-02-15 21:03,20.89,19.79,0,471.5,0.003016154,0
7576,10-02-15 0:06,20.39,32.9,0,499,0.004876516,0
2297,06-02-15 8:06,20.65,19.4725,408.5,531,0.002923796,1
5628,08-02-15 15:38,20,26.29,51.5,426,0.003797345,0
6090,08-02-15 23:19,19.5,27.6,0,451,0.00386517,0
817,05-02-15 7:27,20.7,22.5,0,454,0.003391335,0
1857,06-02-15 0:47,20.245,20.84,0,443,0.003052493,0
2096,06-02-15 4:46,20.46333333,18.66666667,0,439.3333333,0.002770034,0
783,05-02-15 6:53,20.79,22.79,0,458,0.003454488,0
914,05-02-15 9:04,21.525,24.5425,478.5,791.25,0.003894583,1
7677,10-02-15 1:46,20.29,32.95,0,465,0.004853669,0
7636,10-02-15 1:06,20.29,32.96666667,0,482,0.004856144,0
1062,05-02-15 11:31,22.2,26.89,454.6666667,1105,0.004450603,1
